"subj_code","condition","desktop_conf","attent_conf","intro_check","structure","first_object","learn_check_left","learn_check_right","learn_check_structure","left_caused_rating","right_caused_rating","left_maintained_rating","right_maintained_rating","timing_check","recorded_at","age","gender","tech_issues","confirmations_correct","intro_check_correct","learning_check_left_correct","learning_check_right_correct","learning_check_correct","learn_check_structure_correct","timing_check_correct"
"FLeEyZtovROc",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","unstable","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, her colors faded and she became pale and grey.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, her colors faded and she became pale and grey.","1: For a female to turn purple, a male must come close to her. She stays purple only for as long as a male squid is close to her.
                 As soon as a male swims away again, her colors immediately fade and she becomes pale and grey.",10,0,1,10,"The left male swam to the female first.","2024-12-12 13:48:11",20,"2: female",NA,"correct","correct","correct","correct","correct","correct","correct"
"bJaRbv56cbOg",2,"1: I confirm","1: I will take it seriously","1: A little squid swam from the left to the right.","stable","right","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: For a female to turn purple, a male must come close to her. 
                 Once this has happened, she remains purple permanently, even if a male squid swims away from her again.",0,10,0,10,"The right male swam to the female first.","2024-12-12 13:52:00",48,"1: male","none","correct","incorrect","correct","correct","correct","correct","correct"
"DQRSMJNrlGYK",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","unstable","right","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, her colors faded and she became pale and grey.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, her colors faded and she became pale and grey.","1: For a female to turn purple, a male must come close to her. She stays purple only for as long as a male squid is close to her.
                 As soon as a male swims away again, her colors immediately fade and she becomes pale and grey.",0,8,8,1,"The right male swam to the female first.","2024-12-12 13:53:11",20,"2: female",NA,"correct","correct","correct","correct","correct","correct","correct"
"DlMkPNexxnDd",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","stable","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: For a female to turn purple, a male must come close to her. 
                 Once this has happened, she remains purple permanently, even if a male squid swims away from her again.",10,0,10,0,"The left male swam to the female first.","2024-12-12 13:53:30",20,"1: male","Spelling Errors","correct","correct","correct","correct","correct","correct","correct"
"XTCHewg2xbPC",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","unstable","right","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, her colors faded and she became pale and grey.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, her colors faded and she became pale and grey.","1: For a female to turn purple, a male must come close to her. She stays purple only for as long as a male squid is close to her.
                 As soon as a male swims away again, her colors immediately fade and she becomes pale and grey.",6,5,6,5,"The right male swam to the female first.","2024-12-12 13:53:30",21,"1: male","None","correct","correct","correct","correct","correct","correct","correct"
"rv8zTNITn9Bj",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","stable","right","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: For a female to turn purple, a male must come close to her. 
                 Once this has happened, she remains purple permanently, even if a male squid swims away from her again.",5,9,5,0,"The right male swam to the female first.","2024-12-12 13:53:45",46,"2: female",NA,"correct","correct","correct","correct","correct","correct","correct"
"QY4PZrDAL6sw",3,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","unstable","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, her colors faded and she became pale and grey.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, her colors faded and she became pale and grey.","1: For a female to turn purple, a male must come close to her. She stays purple only for as long as a male squid is close to her.
                 As soon as a male swims away again, her colors immediately fade and she becomes pale and grey.",7,7,0,10,"The left male swam to the female first.","2024-12-12 13:56:13",33,"2: female",NA,"correct","correct","correct","correct","correct","correct","correct"
"cXbSfAzlawFT",1,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","stable","left","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: For a female to turn purple, a male must come close to her. 
                 Once this has happened, she remains purple permanently, even if a male squid swims away from her again.",10,0,0,0,"The left male swam to the female first.","2024-12-12 13:57:03",54,"4: prefer not to say",NA,"correct","correct","correct","correct","correct","correct","correct"
"FDlCE5frOz2M",4,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","unstable","right","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, her colors faded and she became pale and grey.","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, her colors faded and she became pale and grey.","1: For a female to turn purple, a male must come close to her. She stays purple only for as long as a male squid is close to her.
                 As soon as a male swims away again, her colors immediately fade and she becomes pale and grey.",0,10,10,0,"The right male swam to the female first.","2024-12-12 14:03:32",26,"2: female",NA,"correct","correct","correct","correct","correct","correct","correct"
"OYjlkaW2yLHf",2,"1: I confirm","1: I will take it seriously","2: A little squid swam from the right to the left.","stable","right","2: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.","2: For a female to turn purple, a male must come close to her. 
                 Once this has happened, she remains purple permanently, even if a male squid swims away from her again.",1,10,4,7,"The right male swam to the female first.","2024-12-12 14:10:13",21,"2: female",NA,"correct","correct","correct","correct","correct","correct","correct"
