"subj_code","condition","desktop_conf","attent_conf","confirmations_correct","intro_check","intro_check_correct","structure","first_object","learn_check_left","learn_check_left_correct","learn_check_right","learn_check_right_correct","learn_check_structure","learn_check_structure_correct","left_caused_rating","right_caused_rating","left_maintained_rating","right_maintained_rating","timing_check","timing_check_correct","recorded_at","age","gender","tech_issues","learn_check_correct"
"4sOpoiMl83DL",4,"1: I confirm","1: I will take it seriously","correct","2: A little squid swam from the right to the left.","correct","unstable","right","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, her colors faded and she became pale and grey.","correct","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, her colors faded and she became pale and grey.","correct","1: For a female to turn purple, a male must come close to her. She stays purple only for as long as a male squid is close to her. As soon as a male swims away again, her colors immediately fade and she becomes pale and grey.","correct",0,10,10,0,"The right male swam to the female first.","correct","2024-12-13 12:11:00",42,"2: female",NA,"correct"
"BtMiBs92StJR",1,"1: I confirm","1: I will take it seriously","correct","1: A little squid swam from the left to the right.","incorrect","stable","left","3: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","correct","3: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.","correct","3: For a female to turn purple, a male must come close to her. Once this has happened, she remains purple permanently, even if a male squid swims away from her again.","correct",10,0,0,10,"The left male swam to the female first.","correct","2024-12-13 12:11:03",50,"2: female","none i saw","correct"
"EE2GoHNz59vu",3,"1: I confirm","1: I will take it seriously","correct","2: A little squid swam from the right to the left.","correct","unstable","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, her colors faded and she became pale and grey.","correct","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, her colors faded and she became pale and grey.","correct","1: For a female to turn purple, a male must come close to her. She stays purple only for as long as a male squid is close to her. As soon as a male swims away again, her colors immediately fade and she becomes pale and grey.","correct",8,1,1,8,"The left male swam to the female first.","correct","2024-12-13 12:11:14",66,"2: female","NONE","correct"
"8U9GQnGr6l6h",5,"1: I confirm","1: I will take it seriously","correct","2: A little squid swam from the right to the left.","correct","reversible","left","2: When the left male approached the female she turned purple, but as soon as he swam way from her again, she turned back to her natural brown.","correct","2: When the right male approached the female she turned purple, but as soon as he swam way from her again, she turned back to her natural brown.","correct","2: For a female to turn purple, a male must come close to her. She stays purple only for as long as a male squid is close to her. As soon as a male swims away again, she immediately turns back to her natural brown.","correct",9,1,2,9,"The left male swam to the female first.","correct","2024-12-13 12:11:35",24,"2: female","none","correct"
"w7O3ejzPcOA3",6,"1: I confirm","1: I will take it seriously","correct","2: A little squid swam from the right to the left.","correct","reversible","right","2: When the left male approached the female she turned purple, but as soon as he swam way from her again, she turned back to her natural brown.","correct","2: When the right male approached the female she turned purple, but as soon as he swam way from her again, she turned back to her natural brown.","correct","2: For a female to turn purple, a male must come close to her. She stays purple only for as long as a male squid is close to her. As soon as a male swims away again, she immediately turns back to her natural brown.","correct",0,10,10,0,"The right male swam to the female first.","correct","2024-12-13 12:11:56",52,"2: female","None","correct"
"bDXiFfn1EwyK",2,"1: I confirm","1: I will take it seriously","correct","2: A little squid swam from the right to the left.","correct","stable","right","3: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","correct","3: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.","correct","3: For a female to turn purple, a male must come close to her. Once this has happened, she remains purple permanently, even if a male squid swims away from her again.","correct",0,10,0,0,"The right male swam to the female first.","correct","2024-12-13 12:12:47",29,"2: female",NA,"correct"
"9Abqj5IKiu3N",1,"1: I confirm","1: I will take it seriously","correct","2: A little squid swam from the right to the left.","correct","stable","left","3: When the left male approached the female she turned purple and when he swam away from her again, she stayed purple.","correct","3: When the right male approached the female she turned purple and when he swam away from her again, she stayed purple.","correct","3: For a female to turn purple, a male must come close to her. Once this has happened, she remains purple permanently, even if a male squid swims away from her again.","correct",9,0,0,0,"The left male swam to the female first.","correct","2024-12-13 12:13:02",32,"1: male",NA,"correct"
"yZH4Di7V6SSH",6,"1: I confirm","1: I will take it seriously","correct","2: A little squid swam from the right to the left.","correct","reversible","right","2: When the left male approached the female she turned purple, but as soon as he swam way from her again, she turned back to her natural brown.","correct","2: When the right male approached the female she turned purple, but as soon as he swam way from her again, she turned back to her natural brown.","correct","2: For a female to turn purple, a male must come close to her. She stays purple only for as long as a male squid is close to her. As soon as a male swims away again, she immediately turns back to her natural brown.","correct",4,10,10,4,"The right male swam to the female first.","correct","2024-12-13 12:13:05",36,"2: female","none","correct"
"IiUqC7QJA8hT",3,"1: I confirm","1: I will take it seriously","correct","2: A little squid swam from the right to the left.","correct","unstable","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, her colors faded and she became pale and grey.","correct","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, her colors faded and she became pale and grey.","correct","1: For a female to turn purple, a male must come close to her. She stays purple only for as long as a male squid is close to her. As soon as a male swims away again, her colors immediately fade and she becomes pale and grey.","correct",10,0,2,10,"The right male swam to the female first.","incorrect","2024-12-13 12:13:46",21,"2: female",NA,"correct"
"CCR8xkCXOJo5",5,"1: I confirm","1: I will take it seriously","correct","1: A little squid swam from the left to the right.","incorrect","reversible","left","1: When the left male approached the female she turned purple, but as soon as he swam away from her again, her colors faded and she became pale and grey.","incorrect","1: When the right male approached the female she turned purple, but as soon as he swam away from her again, her colors faded and she became pale and grey.","incorrect","2: For a female to turn purple, a male must come close to her. She stays purple only for as long as a male squid is close to her. As soon as a male swims away again, she immediately turns back to her natural brown.","correct",2,3,10,5,"The left male swam to the female first.","correct","2024-12-13 12:14:57",20,"1: male","idk","incorrect"
